timestamp,distance,strength,temperature
2024-12-02 17:14:07,248,2140,53.0
2024-12-02 17:14:07,248,2147,53.0
2024-12-02 17:14:07,248,2142,53.0
2024-12-02 17:14:08,248,2141,53.0
2024-12-02 17:14:08,248,2140,53.0
2024-12-02 17:14:08,248,2141,53.0
2024-12-02 17:14:08,248,2143,53.0
2024-12-02 17:14:08,248,2141,53.0
2024-12-02 17:14:08,248,2138,53.0
2024-12-02 17:14:08,248,2143,53.0
2024-12-02 17:14:08,248,2147,53.0
2024-12-02 17:14:08,248,2139,53.0
2024-12-02 17:14:08,248,2142,53.0
2024-12-02 17:14:09,248,2142,53.0
2024-12-02 17:14:09,248,2138,53.0
2024-12-02 17:14:09,248,2141,53.0
2024-12-02 17:14:09,96,2254,53.0
2024-12-02 17:14:09,60,4441,53.0
2024-12-02 17:14:09,49,6438,53.0
2024-12-02 17:14:09,39,8702,53.0
2024-12-02 17:14:09,31,10126,53.0
2024-12-02 17:14:09,23,1883,53.0
2024-12-02 17:14:09,18,1490,53.0
2024-12-02 17:14:10,13,1214,53.0
2024-12-02 17:14:10,11,1315,53.0
2024-12-02 17:14:10,16,1430,53.0
2024-12-02 17:14:10,22,2246,53.0
2024-12-02 17:14:10,31,2222,53.0
2024-12-02 17:14:10,42,1522,53.0
2024-12-02 17:14:10,54,5341,53.0
2024-12-02 17:14:10,248,2139,53.0
2024-12-02 17:14:11,248,2141,53.0
2024-12-02 17:14:11,247,2141,53.0
2024-12-02 17:14:11,248,2145,53.0
2024-12-02 17:14:11,248,2137,53.0
2024-12-02 17:14:11,248,2143,53.0
2024-12-02 17:14:11,248,2144,53.0
2024-12-02 17:14:11,248,2140,53.0
2024-12-02 17:14:11,248,2138,53.0
2024-12-02 17:14:11,247,2135,53.0
2024-12-02 17:14:11,248,2141,53.0
2024-12-02 17:14:12,248,2140,53.0
2024-12-02 17:14:12,248,2144,53.0
2024-12-02 17:14:12,247,2134,53.0
2024-12-02 17:14:12,248,2139,53.0
2024-12-02 17:14:12,69,3176,53.0
2024-12-02 17:14:12,56,4910,53.0
2024-12-02 17:14:12,47,7095,53.0
2024-12-02 17:14:12,38,9512,53.0
2024-12-02 17:14:12,31,11098,53.0
2024-12-02 17:14:12,24,2091,53.0
2024-12-02 17:14:13,19,1771,53.0
2024-12-02 17:14:13,14,1641,53.0
2024-12-02 17:14:13,13,1677,53.0
2024-12-02 17:14:13,15,1523,53.0
2024-12-02 17:14:13,18,1671,53.0
2024-12-02 17:14:13,22,2142,53.0
2024-12-02 17:14:13,38,1695,53.0
2024-12-02 17:14:13,46,1269,53.0
2024-12-02 17:14:14,56,4650,53.0
2024-12-02 17:14:14,248,2125,53.0
2024-12-02 17:14:14,248,2129,53.0
2024-12-02 17:14:14,248,2134,53.0
2024-12-02 17:14:14,248,2141,53.0
2024-12-02 17:14:14,248,2137,53.0
2024-12-02 17:14:14,248,2136,53.0
2024-12-02 17:14:14,248,2140,53.0
2024-12-02 17:14:14,248,2138,53.0
2024-12-02 17:14:14,248,2140,53.0
2024-12-02 17:14:15,248,2142,53.0
2024-12-02 17:14:15,247,2139,53.0
2024-12-02 17:14:15,248,2131,53.0
2024-12-02 17:14:15,248,2138,53.0
2024-12-02 17:14:15,248,2136,53.0
2024-12-02 17:14:15,248,2134,53.0
2024-12-02 17:14:15,248,2144,53.0
2024-12-02 17:14:15,242,1727,53.0
2024-12-02 17:14:15,54,5893,53.0
2024-12-02 17:14:15,44,8921,53.0
2024-12-02 17:14:16,29,7374,53.0
2024-12-02 17:14:16,22,2772,53.0
2024-12-02 17:14:16,17,1825,53.0
2024-12-02 17:14:16,14,1416,53.0
2024-12-02 17:14:16,13,1412,53.0
2024-12-02 17:14:16,14,1458,53.0
2024-12-02 17:14:16,16,1549,53.0
2024-12-02 17:14:16,21,2525,52.75
2024-12-02 17:14:16,28,2687,53.0
2024-12-02 17:14:17,37,2022,52.5
2024-12-02 17:14:17,46,1241,52.75
2024-12-02 17:14:17,63,2547,52.75
2024-12-02 17:14:17,247,2040,53.0
2024-12-02 17:14:17,247,2134,53.0
2024-12-02 17:14:17,248,2143,53.0
2024-12-02 17:14:17,247,2137,53.0
2024-12-02 17:14:17,248,2135,53.0
2024-12-02 17:14:17,248,2136,53.0
2024-12-02 17:14:18,248,2140,53.0
2024-12-02 17:14:18,248,2144,53.0
2024-12-02 17:14:18,248,2136,53.0
2024-12-02 17:14:18,248,2144,53.0
2024-12-02 17:14:18,248,2138,53.0
2024-12-02 17:14:18,248,2143,53.0
2024-12-02 17:14:18,248,2139,53.0
2024-12-02 17:14:18,248,2137,53.0
2024-12-02 17:14:19,248,2141,53.0
2024-12-02 17:14:19,248,2146,53.0
2024-12-02 17:14:19,248,2145,53.0
2024-12-02 17:14:19,247,2106,53.0
2024-12-02 17:14:19,68,6970,53.0
2024-12-02 17:14:19,49,14662,53.0
2024-12-02 17:14:19,34,5094,53.0
2024-12-02 17:14:19,25,3596,53.0
2024-12-02 17:14:19,18,1754,53.0
2024-12-02 17:14:19,15,1600,53.0
2024-12-02 17:14:20,16,1411,52.5
2024-12-02 17:14:20,21,2454,52.75
2024-12-02 17:14:20,33,2266,52.25
2024-12-02 17:14:20,45,1237,52.0
2024-12-02 17:14:20,114,1759,52.0
2024-12-02 17:14:20,248,2143,52.25
2024-12-02 17:14:20,248,2138,52.5
2024-12-02 17:14:20,248,2141,52.0
2024-12-02 17:14:20,248,2140,52.5
2024-12-02 17:14:21,248,2143,52.25
2024-12-02 17:14:21,248,2142,52.75
2024-12-02 17:14:21,247,1932,52.75
2024-12-02 17:14:21,62,2831,52.5
2024-12-02 17:14:21,43,6937,52.0
2024-12-02 17:14:21,31,11948,52.5
2024-12-02 17:14:21,22,2757,52.25
2024-12-02 17:14:21,16,1768,52.0
2024-12-02 17:14:21,17,1543,52.0
2024-12-02 17:14:21,26,408,52.0
2024-12-02 17:14:22,248,6476,52.0
2024-12-02 17:14:22,249,6568,52.5
